"week_num","Hours_Above_80","Hours_Above_75","Hours_Below_50","Avg_HourlyRelativeHumidity","Avg_HourlyWetBulbTemperature","Avg_HourlyWindSpeed","Lagged_week_num"
"2014-42",0,12,31,82.8391608391608,58.2482517482518,5.72473867595819,"2014-41"
"2014-43",0,0,41,83.006968641115,50.4843205574913,7.82229965156795,"2014-42"
"2014-44",0,0,156,80.1755102040816,43.7795918367347,5.91836734693877,"2014-43"
"2014-45",0,0,140,73.7982062780269,42.0134529147982,4.41891891891892,"2014-44"
"2014-46",0,0,195,80.9609375,37.74609375,2.37890625,"2014-45"
"2014-47",0,0,181,65.9285714285715,35.7410714285714,6.11160714285715,"2014-46"
"2014-48",0,0,209,81.2114093959731,39.7013422818792,7.53355704697987,"2014-47"
"2014-49",0,0,208,77.0734693877551,38.6326530612245,6.1469387755102,"2014-48"
"2014-50",0,0,267,84.3377926421405,37.5016722408027,5.76254180602007,"2014-49"
"2014-51",0,0,258,82.9494163424124,34.3540856031128,3.44961240310077,"2014-50"
"2014-52",0,0,192,84.0574712643678,44.0919540229885,4.95019157088122,"2014-51"
"2015-01",0,0,142,76.8466257668712,33.3435582822086,5.50306748466257,"2014-52"
"2015-02",0,0,191,58.4715025906736,16.9585492227979,7.14507772020726,"2015-01"
"2015-03",0,0,230,73.0289256198347,27.0909090909091,6.0206611570248,"2015-02"
"2015-04",0,0,241,72.1742738589211,29.7095435684647,5.44957983193278,"2015-03"
"2015-05",0,0,279,71.9462365591398,18.989247311828,8.50729927007299,"2015-04"
"2015-06",0,0,298,75.0872483221477,21.1778523489933,6.41946308724832,"2015-05"
"2015-07",0,0,300,77.19,20.6733333333333,8.61666666666666,"2015-06"
"2015-08",0,0,281,73.1850533807829,20.6370106761566,5.23297491039427,"2015-07"
"2015-09",0,0,236,68.2203389830509,16.3574468085106,4.05106382978723,"2015-08"
"2015-10",0,0,245,73.1918367346939,26.0244897959184,5.23673469387755,"2015-09"
